"授業名","担当教員","副担当","登録コード","講義期間","曜日・時限","単位数","講義室","対象学生"
"応用水理学演習(16T以降)","小松　一弘","NULL","T3005200","後期","金曜･３時限","1","工C3-102教室","NULL"
"土の力学(16T以降)","梅崎　健夫","NULL","T3006200","前期","火曜･１時限","2","工C3-301教室","水環境・土木工学科２年生"
"土の力学演習(16T以降)","河村　隆","NULL","T3007200","前期","水曜･１時限","1","工C3-102教室","水環境・土木工学科２年生"
"構造力学(22T以降)","近広　雄希","NULL","T3008200","前期","金曜･２時限","2","工C3-301教室","水環境・土木工学学科２年生"
"構造力学演習(22T以降)","近広　雄希","NULL","T3009200","前期","金曜･５時限","1","工C3-101教室","水環境・土木工学学科２年生"
"計画数理(22T以降)","髙瀨　達夫 他","NULL","T3010200","前期","火曜･２時限","2","工C3-102教室","NULL"
"計画数理演習(22T以降)","髙瀨　達夫 他","NULL","T3011200","前期","木曜･４時限","1","工C3-101教室","水環境・土木工学科2年生"
"空間情報学(16T以降)","豊田　政史 他","森本　瑛士","T3012200","後期","水曜･３時限","2","工C3-101教室","水環境・土木工学科2年生"
"総合演習(16T以降)","髙瀨　達夫 他","小山　茂","T3013300","後期","水曜･５時限","1","工C3-103教室","水環境・土木工学科3年生"
"卒業研究(水土)(16T以降)","河村　隆 他","林　卓哉","T3015400","通年","集中･不定期","10","NULL","水環境・土木工学科４年生"
"材料基礎(22T以降)","林　卓哉","NULL","T3016200","前期","金曜･１時限","2","工C3-101教室","NULL"
"水処理工学(16T以降)","清野　竜太郎 他","小松　一弘","T3017300","前期","木曜･１時限","2","工C3-102教室","水環境・土木工学科3年生"
"水保全工学(16T以降)","小松　一弘","NULL","T3018300","後期","水曜･１時限","2","工C3-102教室","NULL"
"水環境化学(16T以降)","清野　竜太郎","NULL","T3019200","前期","火曜･４時限","2","工C3-102教室","水環境・土木工学科2年生"
"水文・水資源学24T-","吉谷　純一","NULL","T3020200","後期","木曜･２時限","2","工C3-100教室","NULL"
"水資源計画(22T以降)","吉谷　純一","NULL","T3022300","後期","金曜･４時限","2","工C3-101教室","NULL"
"環境デバイス科学(20T以降)","林　卓哉","NULL","T3023300","後期","木曜･２時限","2","工C3-101教室","NULL"
"上下水道工学(16T以降)","小松　一弘","NULL","T3024300","後期","金曜･２時限","2","工C3-101教室","NULL"
"地圏環境学(16T以降)","梅崎　健夫 他","小松　一弘 河村　隆","T3025300","後期","月曜･３時限","2","工C3-102教室","水環境・土木工学科３年生"
"環境生態学(16T以降)","小松　一弘","NULL","T3026400","前期","水曜･２時限","2","工C3-301教室","NULL"
"河川・海岸工学(16T以降)","豊田　政史 他","吉谷　純一","T3027300","前期","火曜･１時限","2","工C3-101教室","水環境・土木工学科3年生"
"交通工学(20Ｔ以降)","髙瀨　達夫","NULL","T3030300","後期","水曜･２時限","2","工C3-200教室","水環境・土木工学科3年生"
"空間情報実習(16T以降)","豊田　政史 他","森本　瑛士","T3031300","前期","水曜･３時限 水曜･４時限","1","工C3-301教室","水環境・土木工学科3年生"
"数値計算法(16T以降)","小山　茂","NULL","T3032300","後期","水曜･２時限","2","工C3-300教室","水環境・土木工学科2年生"
"防災システム論(16T以降)","梅崎　健夫 他","吉谷　純一","T3038300","後期","火曜･１時限","2","工C3-200教室","水環境・土木工学科３～４年生"
"地盤工学(16T以降)","梅崎　健夫","NULL","T3040300","後期","水曜･４時限","2","工C3-202教室","水環境・土木工学科３年生"
"鋼構造・橋梁工学(22T以降)","近広　雄希","NULL","T3041300","後期","火曜･２時限","2","工C3-202教室","NULL"
"コンクリート工学(22T以降)","小山　茂","NULL","T3042300","前期","木曜･２時限","2","工C3-100教室","水環境・土木工学科3年生"
"地震・耐震工学(16T以降)","小山　茂","NULL","T3043300","後期","月曜･２時限","2","工C3-202教室","水環境・土木工学科3年生"
"環境計画(16T以降)","竹内　健司","NULL","T3045300","後期","水曜･３時限","2","工W2-501教室","水環境・土木工学科3，4年生"
"学外特別講義Ⅰ(16T以降)","髙瀨　達夫","小山　茂","T3050200","通年(集中)","集中･不定期","2","NULL","水環境・土木工学科2～4年生"
"学外特別講義Ⅱ(16T以降)","髙瀨　達夫","小山　茂","T3051200","通年(集中)","集中･不定期","2","NULL","水環境・土木工学科2～4年生"
"学外特別講義Ⅲ(16T以降)","髙瀨　達夫","小山　茂","T3052200","通年(集中)","集中･不定期","2","NULL","水環境・土木工学科2～4年生"
"学外特別実習(16T以降)","髙瀨　達夫","小山　茂","T3053200","通年(集中)","集中･不定期","2","NULL","水環境・土木工学科2(後期)～4年生"
"環境材料科学(20T以降)","村松　寛之","NULL","T3054300","前期","火曜･２時限","2","工C3-203教室","NULL"
"都市計画(22T以降)","森本　瑛士","NULL","T3056300","前期","金曜･２時限","2","工C3-102教室","NULL"
"水環境分析(16T以降)","清野　竜太郎","NULL","T3A01200","後期","木曜･１時限","2","工C3-102教室","水環境・土木工学科2年生"
"水資源分離材料科学(16T以降)","林　卓哉","NULL","T3A02200","後期","月曜･３時限","2","工C3-101教室","学部２～４年生"
"水資源分離膜技術(16T以降)","竹内　健司","NULL","T3A03300","前期","月曜･２時限","2","工C3-102教室","水環境・土木工学科3，4年生他"
"水環境実験(A)(16T以降)","小松　一弘 他","豊田　政史 清野　竜太郎 竹内　健司 村松　寛之","T3A04300","後期","火曜･３時限～４時限前半","1","工W8-107実験室","NULL"
"水環境実験(B)(16T以降)","小松　一弘 他","豊田　政史 清野　竜太郎 竹内　健司 村松　寛之","T3A04301","後期","木曜･３時限～４時限前半","1","工W8-107実験室","NULL"
"環境エネルギー工学(24Ｔ以降)","村松　寛之","NULL","T3A05200","後期","火曜･１時限","2","工C3-202教室","NULL"
"地盤の力学(16T以降)","河村　隆","NULL","T3B01200","後期","火曜･４時限","2","工C3-102教室","水環境・土木工学科２年生"
"構造解析学(22T以降)","小山　茂","NULL","T3B02200","後期","金曜･２時限","2","工C3-102教室","水環境・土木工学科2年生"
"土木計画学(16T以降)","髙瀨　達夫","NULL","T3B03200","後期","水曜･４時限","2","工C3-102教室","水環境・土木工学科2年生"
"土木実験(16T以降)","河村　隆 他","小山　茂 梅崎　健夫 近広　雄希","T3B04300","前期（随時）","月曜･３時限～４時限前半 火曜･３時限～４時限前半","1","工E8棟","水環境・土木工学科３年生"
"機械システム工学ゼミナール","松原　雅春 他","吉田　尚史","T4000110","前期(前半)","火曜･４時限 火曜･５時限","2","共通教育６１講義室","NULL"
"数学演習(16T以降)","吉野　正人","NULL","T4001110","前期(後半)","火曜･４時限 火曜･５時限","1","共通教育６１講義室","機械システム工学科１年生"
"力学演習(A)(20T以降)","松原　雅春 他","吉田　尚史 種村　昌也 鈴木　康祐","T4002200","前期(前半)","金曜･１時限～２時限前半","1","工C3-202教室","機械システム工学科２年生"
"力学演習(B)(20T以降)","松原　雅春 他","吉田　尚史 種村　昌也 鈴木　康祐","T4002201","前期(前半)","金曜･３時限～４時限前半","1","工C3-202教室","機械システム工学科２年生"
"機械設計製図Ⅰ(16T以降)","榊　和彦","牛　立斌","T4003110","後期","水曜･２時限 水曜･３時限","1","共通教育６１講義室 共通教育６２講義室","機械システム工学1年生"
"機械設計製図Ⅱ(16T以降)","藤井　雅留太","NULL","T4004200","前期","火曜･３時限～４時限前半","1","工W2-501教室","NULL"
"機械設計演習(20T以降)","飯尾　昭一郎","NULL","T4005200","後期","火曜･３時限～４時限前半","1","工W2-501教室","機械システム工学科２年生"
"機械加工実習(A)(16T以降)","榊　和彦","NULL","T4007200","前期(後半)","金曜･３時限～４時限前半","1","工W10棟","機械システム工学科2年生"
"機械加工実習(B)(16T以降)","榊　和彦","NULL","T4007201","前期(後半)","金曜･１時限～２時限前半","1","工W10棟","NULL"
