"授業名","担当教員","副担当","登録コード","講義期間","曜日・時限","単位数","講義室","対象学生"
"建築ゼミナール","南　健斗","梅干野　成央 寺内　美紀子 土本　俊和 高村　秀紀 諏訪田　晴彦","T5000110","前期(前半)","水曜･３時限 水曜･４時限","2","共通教育４７講義室","建築学科１年生"
"建築計画(16T以降)","寺内　美紀子","NULL","T5003200","前期","木曜･２時限","2","工C3-103教室","建築学科２年生"
"日本建築史(16T以降)","梅干野　成央","NULL","T5004200","前期","水曜･４時限","2","工C3-103教室","建築学科２年生"
"保存再生論(16T以降)","土本　俊和","NULL","T5005300","前期","月曜･５時限","2","工C3-102教室","NULL"
"建築環境工学Ⅰ(16T以降)","中谷　岳史","NULL","T5006200","前期","金曜･２時限","2","工C3-300教室","NULL"
"建築環境工学Ⅱ(16T以降)","南　健斗","NULL","T5007200","後期","火曜･２時限","2","工C3-301教室","NULL"
"建築設備Ⅰ(16T以降)","高村　秀紀","NULL","T5008300","前期","火曜･１時限","2","工C3-300教室","建築学科3年生"
"建築設備Ⅱ(16T以降)","中谷　岳史","NULL","T5009300","後期","金曜･１時限","2","工C3-101教室","NULL"
"建築エネルギーマネジメント(16T以降)","高村　秀紀","NULL","T5010200","前期","水曜･２時限","2","工C3-100教室","建築学科2年生"
"プロダクトマネジメント論(16T以降)","高村　秀紀","NULL","T5011300","後期","水曜･１時限","2","工C3-100教室","建築学科3年生"
"建築構造力学Ⅰ(16T以降)","諏訪田　晴彦","NULL","T5012200","前期","水曜･１時限","2","工C3-300教室","建築学科2年生"
"建築構造力学Ⅰ演習(16T以降)","諏訪田　晴彦","NULL","T5013200","前期","金曜･４時限","1","工C3-102教室","建築学科2年生"
"建築構造力学Ⅱ演習(16T以降)","遠藤　洋平","NULL","T5014200","後期","水曜･３時限","1","工C3-300教室","建築学科2年生"
"鋼構造(16T以降)","遠藤　洋平","NULL","T5015300","後期","月曜･３時限","2","NULL","建築学科3年生"
"建築構造力学Ⅱ(16T以降)","遠藤　洋平","NULL","T5016200","後期","木曜･１時限","2","NULL","建築学科2年生"
"鉄筋コンクリート構造(16T以降)","松田　昌洋","NULL","T5017300","前期","月曜･３時限","2","工C3-300教室","建築学科３年生"
"建築材料(16T以降)","松田　昌洋","NULL","T5018200","後期","木曜･２時限","2","工W5-21教室","建築学科２年生"
"設計基礎Ⅰ(16T以降)","南　健斗","高村　秀紀 寺内　美紀子 梅干野　成央 諏訪田　晴彦 土本　俊和","T5019110","前期(後半)","水曜･３時限 水曜･４時限","2","共通教育４７講義室","建築学科１年生"
"設計基礎Ⅱ(16T以降)","遠藤　洋平","NULL","T5020110","後期","水曜･３時限","2","共通教育４７講義室","建築学科1年生"
"設計基礎演習(16T以降)","遠藤　洋平","NULL","T5021110","後期","水曜･４時限","1","共通教育４７講義室","建築学科1年生"
"建築・デザイン工学設計製図Ⅰ(16T以降)","梅干野　成央 他","中谷　岳史 佐倉　弘祐","T5022200","前期","木曜･３時限 木曜･４時限 木曜･５時限","2","工E3-301製図室","建築学科２年生"
"建築・デザイン工学設計製図Ⅱ(16T以降)","羽藤　広輔 他","諏訪田　晴彦 佐倉　弘祐 南　健斗","T5023200","後期","金曜･３時限 金曜･４時限 金曜･５時限","2","工C3-103教室","建築学科２年生"
"卒業研究(建築)(16T以降)","羽藤　広輔 他","梅干野　成央","T5024400","通年","集中･不定期","10","NULL","建築学科４年生"
"建築施工(16T以降)","町田　一重","梅干野　成央","T5032200","後期","月曜･４時限","2","工C3-301教室","NULL"
"建築・デザイン工学設計製図Ⅲ(16T以降)","寺内　美紀子 他","羽藤　広輔 佐倉　弘祐","T5034400","前期","水曜･３時限 水曜･４時限 水曜･５時限","2","工W2-601教室","建築学科4年生"
"学外特別講義Ⅰ(16T以降)","梅干野　成央","諏訪田　晴彦","T5035200","通年(集中)","集中･不定期","2","NULL","NULL"
"学外特別講義Ⅱ(16T以降)","梅干野　成央","諏訪田　晴彦","T5036200","通年(集中)","集中･不定期","2","NULL","NULL"
"学外特別講義Ⅲ(16T以降)","梅干野　成央","諏訪田　晴彦","T5037200","通年(集中)","集中･不定期","2","NULL","NULL"
"学外特別実習(16T以降)","梅干野　成央","諏訪田　晴彦","T5038200","通年(集中)","集中･不定期","1","NULL","NULL"
"建築環境工学実験(16T以降)","高村　秀紀 他","中谷　岳史 南　健斗","T5A01300","前期","金曜･３時限～４時限前半","1","工C3-103教室","建築学科3年生"
"建築地盤工学(16T以降)","諏訪田　晴彦","NULL","T5A02300","後期","水曜･３時限","2","工W1-215教室","建築学科3年生"
"建築構造材料実験(16T以降)","松田　昌洋 他","諏訪田　晴彦","T5A03300","後期","火曜･３時限～４時限前半","1","工C3-103教室","建築学科３年生"
"都市計画史(16T以降)","佐倉　弘祐","NULL","T5A04300","前期","木曜･３時限","2","NULL","建築学科３年生"
"建築設備演習(16T以降)","高村　秀紀","NULL","T5A05300","前期","火曜･２時限","1","工C3-300教室","建築学科3年生"
"建築耐震設計(16T以降)","諏訪田　晴彦","NULL","T5A06300","前期","木曜･１時限","2","工C3-100教室","建築学科3年生"
"建築構法(16T以降)","松田　昌洋","NULL","T5A07200","前期","水曜･３時限","2","工C3-100教室","建築学科２年生"
"地域計画(16T以降)","梅干野　成央","NULL","T5A08300","後期","木曜･１時限","2","工C3-300教室","建築学科２年生"
"西洋建築史(16T以降)","土本　俊和","NULL","T5A09200","後期","金曜･２時限","2","工C3-100教室","NULL"
"建築設計製図Ⅰ(16T以降)","寺内　美紀子 他","遠藤　洋平","T5A10300","前期","火曜･３時限 火曜･４時限 火曜･５時限","2","工C5-製図室","建築学科３年生"
"建築設計製図Ⅱ(16T以降)","土本　俊和 他","松田　昌洋","T5A11300","後期","木曜･３時限 木曜･４時限 木曜･５時限","2","工C5-製図室","建築学科３年生"
"工芸デザイン製図Ⅰ(16T以降)","高村　秀紀 他","羽藤　広輔","T5B01300","前期","火曜･３時限 火曜･４時限 火曜･５時限","2","工C5-製図室","建築学科３年生"
"工芸デザイン製図Ⅱ(16T以降)","梅干野　成央 他","柳瀬　亮太 佐倉　弘祐","T5B02300","後期","木曜･３時限 木曜･４時限 木曜･５時限","2","工C5-製図室","NULL"
"現代デザイン学(16T以降)","寺内　美紀子","NULL","T5B03300","後期","金曜･４時限","2","工W2-601教室","建築学科３年生"
"現代デザイン学演習(16T以降)","寺内　美紀子","NULL","T5B04300","後期","金曜･５時限","1","工W2-601教室","建築学科３年生"
"インタラクションデザイン学(16T以降)","柳瀬　亮太","NULL","T5B05300","前期","木曜･４時限","2","工C3-203教室","建築学科3年生"
